month,channel,revenue_usd,target_usd,marketing_spend_usd,refunds_usd
2025-01,organic,182000,175000,12000,3200
2025-01,paid,141000,150000,42000,5400
2025-01,partner,99000,92000,7000,2100
2025-02,organic,176000,178000,11800,2900
2025-02,paid,149000,152000,43000,5100
2025-02,partner,103000,94000,7600,1900
2025-03,organic,191000,185000,12500,3400
2025-03,paid,156000,158000,44500,5700
2025-03,partner,108000,98000,7800,2200
2025-04,organic,204000,192000,13000,3600
2025-04,paid,162000,161000,46200,6200
2025-04,partner,113000,101000,8100,2400
2025-05,organic,216000,198000,13800,3900
2025-05,paid,171000,166000,47000,6600
2025-05,partner,121000,106000,8500,2600
2025-06,organic,227000,205000,14200,4100
2025-06,paid,178000,171000,48200,6900
2025-06,partner,127000,110000,8800,2800
